,G_x,AB,R,H,2B,3B,HR,RBI,SB_x,CS_x,BB,SO,IBB,HBP,SH,SF,GIDP,stint,G_y,GS,InnOuts,PO,A,E,DP,PB,SB_y,CS_y,salary,MinSalaries,adjSalary,adjMinSalaries,adjSalary2,Bavg,Slug,OBP,FPct,yearID,playerID,Primary
76,149,555,83,156,17,1,32,100.0,1.0,1.0,69,46.0,16.0,6.0,0.0,3.0,18.0,3.0,150.0,146.0,3897.0,987.0,70.0,8.0,13.0,5.0,99.0,51.0,2028571.0,60000.0,4623113.308999999,136740.0,4623113.308999999,0.2810810810810811,0.4882882882882883,0.36492890995260663,0.9924882629107982,1985,cartega01,C
151,129,452,57,119,24,1,21,77.0,0.0,1.0,46,87.0,5.0,2.0,0.0,4.0,8.0,1.0,123.0,119.0,3209.0,198.0,7.0,5.0,2.0,0.0,0.0,0.0,1942857.0,60000.0,4427771.103,136740.0,4427771.103,0.26327433628318586,0.46017699115044247,0.33134920634920634,0.9761904761904762,1985,fostege01,OF
322,162,616,118,185,32,2,37,111.0,10.0,3.0,90,141.0,15.0,1.0,0.0,5.0,14.0,1.0,161.0,161.0,4264.0,334.0,8.0,7.0,4.0,0.0,0.0,0.0,1625000.0,60000.0,3703375.0,136740.0,3703375.0,0.3003246753246753,0.538961038961039,0.38764044943820225,0.9799426934097422,1985,murphda05,OF
428,158,549,89,152,31,5,33,93.0,1.0,3.0,87,117.0,8.0,3.0,0.0,6.0,10.0,3.0,161.0,154.0,3990.0,911.0,193.0,18.0,97.0,0.0,0.0,0.0,2130300.0,60000.0,4854953.7,136740.0,4854953.7,0.2768670309653916,0.5318761384335154,0.3751937984496124,0.983957219251337,1985,schmimi01,1B
514,155,633,105,174,34,6,26,114.0,19.0,7.0,52,96.0,8.0,0.0,0.0,4.0,17.0,1.0,152.0,152.0,4057.0,316.0,13.0,3.0,3.0,0.0,0.0,0.0,1795704.0,60000.0,4092409.4159999997,136740.0,4092409.4159999997,0.27488151658767773,0.4707740916271722,0.32801161103047893,0.9909638554216867,1985,winfida01,OF
603,132,490,81,125,14,2,24,105.0,1.0,0.0,62,63.0,9.0,6.0,0.0,15.0,21.0,4.0,136.0,131.0,3519.0,943.0,70.0,9.0,18.0,5.0,114.0,45.0,2160714.0,60000.0,4831356.504,134160.0,4831356.504,0.25510204081632654,0.4387755102040816,0.3368237347294939,0.9911937377690803,1986,cartega01,C
679,87,284,30,64,6,3,14,42.0,1.0,1.0,24,61.0,1.0,0.0,0.0,2.0,9.0,3.0,73.0,73.0,1784.0,115.0,6.0,4.0,1.0,0.0,0.0,0.0,2860000.0,60000.0,6394959.999999999,134160.0,6394959.999999999,0.22535211267605634,0.4154929577464789,0.2838709677419355,0.968,1986,fostege01,OF
729,153,608,130,160,31,5,28,74.0,87.0,18.0,89,81.0,2.0,2.0,0.0,2.0,12.0,1.0,146.0,144.0,3766.0,426.0,4.0,6.0,0.0,0.0,0.0,0.0,1570000.0,60000.0,3510519.9999999995,134160.0,3510519.9999999995,0.2631578947368421,0.46875,0.35805991440798857,0.9862385321100917,1986,henderi01,OF
733,149,551,94,171,34,1,13,83.0,2.0,1.0,94,69.0,9.0,4.0,0.0,3.0,14.0,1.0,149.0,146.0,3906.0,1199.0,149.0,5.0,115.0,0.0,0.0,0.0,1650000.0,60000.0,3689399.9999999995,134160.0,3689399.9999999995,0.3103448275862069,0.44646098003629764,0.4125766871165644,0.9963045084996305,1986,hernake01,1B
740,141,517,70,141,22,0,27,87.0,1.0,4.0,52,72.0,8.0,2.0,0.0,10.0,16.0,1.0,139.0,137.0,3563.0,1378.0,102.0,8.0,138.0,0.0,0.0,0.0,1800000.0,60000.0,4024799.9999999995,134160.0,4024799.9999999995,0.2727272727272727,0.47195357833655704,0.33562822719449226,0.9946236559139785,1986,hornebo01,1B
861,160,614,89,163,29,7,29,83.0,7.0,7.0,75,141.0,5.0,2.0,0.0,1.0,10.0,1.0,159.0,159.0,4173.0,303.0,6.0,6.0,1.0,0.0,0.0,0.0,1825000.0,60000.0,4080699.9999999995,134160.0,4080699.9999999995,0.26547231270358307,0.4771986970684039,0.3468208092485549,0.9809523809523809,1986,murphda05,OF
934,157,618,98,200,39,2,20,110.0,0.0,1.0,62,78.0,5.0,4.0,0.0,9.0,19.0,1.0,156.0,156.0,4047.0,330.0,16.0,8.0,0.0,0.0,0.0,0.0,1984423.0,60000.0,4437169.828,134160.0,4437169.828,0.32362459546925565,0.49029126213592233,0.3838383838383838,0.9774011299435028,1986,riceji01,OF
966,160,552,97,160,29,1,37,119.0,1.0,2.0,89,84.0,25.0,7.0,0.0,9.0,8.0,2.0,159.0,152.0,3948.0,347.0,238.0,8.0,53.0,0.0,0.0,0.0,2136666.0,60000.0,4777585.175999999,134160.0,4777585.175999999,0.2898550724637681,0.5471014492753623,0.3896499238964992,0.9865092748735245,1986,schmimi01,3B
984,153,514,67,144,19,4,0,54.0,31.0,7.0,79,27.0,13.0,2.0,11.0,3.0,9.0,1.0,144.0,144.0,3861.0,229.0,453.0,15.0,96.0,0.0,0.0,0.0,1940000.0,60000.0,4337840.0,134160.0,4337840.0,0.2801556420233463,0.3326848249027237,0.3762541806020067,0.9784791965566715,1986,smithoz01,SS
